"p","e","flux inf","flux hor","flux L inf","flux L hor"
66.33256471310317,0.1051655855009449,3.340277110075524e-8,5.220971607882095e-13,0.00001794189734407774,2.6379849927986746e-10
67.14613338813191,0.14325043058521536,3.1543038083221065e-8,5.121156413728041e-13,0.00001717133985788464,2.501381797611803e-10
68.04215288137625,0.18519497029047305,2.9533156247192815e-8,5.095166293904737e-13,0.00001628443665263475,2.3695778094548575e-10
68.99856021919432,0.22996639084322837,2.7432047406549565e-8,5.132275736757588e-13,0.000015300616260939495,2.2449408006027683e-10
69.99180547879503,0.2764622712816465,2.529713812593233e-8,5.20937330103351e-13,0.000014246224714972039,2.127237476853878e-10
70.997431665495,0.32353772871835346,2.3181776055153e-8,5.29509255575192e-13,0.000013152865949074334,2.014494634422012e-10
71.9906769250957,0.37003360915677164,2.1132288866610677e-8,5.350868695070902e-13,0.000012054883104140477,1.9036625240470868e-10
72.94708426291376,0.41480502970952693,1.918492469560733e-8,5.331274599775919e-13,0.000010986392233534236,1.790906316693309e-10
73.8431037561581,0.4567495694147846,1.7365632332075697e-8,5.193503368143161e-13,9.978702986556496e-6,1.6723959045812139e-10
74.65667243118686,0.4948344144990551,1.5696130617415896e-8,4.920096074047011e-13,9.059109994026112e-6,1.5466072702050108e-10
75.36775752714117,0.5281217896800092,1.4204098835977676e-8,4.5383637606327897e-13,8.251254294521232e-6,1.4171344354461018e-10
75.95884976900254,0.5557920493062276,1.2929156093066216e-8,4.1149051306260453e-13,7.576037262128243e-6,1.293262465946554e-10
76.41539450405362,0.577163859753386,1.1918854555347044e-8,3.727781849397873e-13,7.051807731467351e-6,1.1872199518719027e-10
76.72615008573239,0.5917109761193029,1.1218008956339112e-8,3.4396407089513773e-13,6.693540186742141e-6,1.1102075925083565e-10
76.88346468027925,0.5990752001199384,1.0859309017115282e-8,3.2877382736283214e-13,6.511732630366601e-6,1.0698806808563992e-10
52.01749385220623,0.0009247998800616108,8.882567593273146e-8,2.6440966450812643e-12,0.00003332440928587539,9.91971290998131e-10
52.14514399415402,0.008289023880697022,8.795811000227664e-8,2.6003849164129277e-12,0.000033119272823997564,9.787437857878036e-10
52.397301107908305,0.022836140246613956,8.625158875576999e-8,2.5229005354142968e-12,0.00003270467580932319,9.537374510179548e-10
52.76775624846697,0.04420795069377237,8.376275821150167e-8,2.4286231244974777e-12,0.00003207393943324092,9.195457854288066e-10
53.247387580799355,0.07187821031999073,8.057449292015106e-8,2.3368389227916343e-12,0.000031221462152281096,8.793766763602194e-10
53.8243849896983,0.1051655855009449,7.679220538137638e-8,2.264211342072469e-12,0.00003014679623240901,8.364324671405067e-10
54.4845408840121,0.14325043058521536,7.253803428903708e-8,2.2211456323767385e-12,0.000028858380535671503,7.933551276405355e-10
55.21160003469093,0.18519497029047305,6.794365333189299e-8,2.2102694986839917e-12,0.000027376113499426742,7.518748080944053e-10
55.98765983247413,0.22996639084322837,6.314299805110702e-8,2.2269856814078183e-12,0.00002573224612794421,7.127279970882344e-10
56.793611109545445,0.2764622712816465,5.826591530791849e-8,2.261317197717132e-12,0.000023970415507898612,6.758181320667568e-10
57.609608670664464,0.32353772871835346,5.3432473524239954e-8,2.2996965173099797e-12,0.00002214294008865693,6.404937151733231e-10
58.41555994773578,0.37003360915677164,4.874635321257348e-8,2.3254257158398444e-12,0.00002030666336882912,6.057621388743638e-10
59.19161974551897,0.41480502970952693,4.428810440896042e-8,2.3187929905928903e-12,0.000018518055604031814,5.703843224178423e-10
59.91867889619781,0.4567495694147846,4.011545339291252e-8,2.2610900845772846e-12,0.000016829051779462832,5.331208442447689e-10
60.57883479051161,0.4948344144990551,3.62783022691129e-8,2.144424609761907e-12,0.00001528528447057833,4.934613486274322e-10
61.15583219941054,0.5281217896800092,3.284240600929789e-8,1.9802783428899783e-12,0.00001392686355695307,4.5252576434769337e-10
61.635463531742936,0.5557920493062276,2.990217059748199e-8,1.7973617549153622e-12,0.000012789803414272902,4.1326277929011324e-10
62.005918672301604,0.577163859753386,2.7570107927985956e-8,1.6296372654775545e-12,0.000011906003344416657,3.795837481025953e-10
62.25807578605588,0.5917109761193029,2.5951539500032108e-8,1.5045517250257889e-12,0.00001130154365940419,3.550898517431022e-10
62.38572592800368,0.5990752001199384,2.512293984635574e-8,1.4385346684868762e-12,0.000010994675612408556,3.4225300575238464e-10
42.09235608624988,0.0009247998800616108,2.0627633831129397e-7,1.1706749999858145e-11,0.000056331856521408195,3.1969721318604208e-9
42.19565009046686,0.008289023880697022,2.0426339521573936e-7,1.15130297565225e-11,0.00005598553065989679,3.154297485921028e-9
42.39969465770386,0.022836140246613956,2.003062783247701e-7,1.1169710605306622e-11,0.000055286010497583324,3.0736777459605733e-9
42.69946553353039,0.04420795069377237,1.945404625015852e-7,1.0752161084519588e-11,0.000054222773475537915,2.9635725282693415e-9
43.087581364101126,0.07187821031999073,1.8716268525581678e-7,1.0345987975440202e-11,0.00005278723565723887,2.8344288866081934e-9
43.55448544958482,0.1051655855009449,1.784209358190479e-7,1.0025189041249196e-11,0.00005097937239214223,2.6966495098606816e-9
44.08868106183103,0.14325043058521536,1.68599855909193e-7,9.836075375501871e-12,0.000048813793015166434,2.5587847879960604e-9
44.677014531972674,0.18519497029047305,1.5800347926524657e-7,9.79057137785824e-12,0.000046323924798112916,2.4263967182480874e-9
45.304999137408025,0.22996639084322837,1.469384624780998e-7,9.868614207096573e-12,0.00004356348253486688,2.301795503644145e-9
45.957171812989834,0.2764622712816465,1.356999806335341e-7,1.0026274171921297e-11,0.00004060492676610944,2.184573549830228e-9
46.617473903008275,0.32353772871835346,1.2455920404005187e-7,1.020363957015608e-11,0.000037535054864134055,2.072517936470931e-9
47.269646578590084,0.37003360915677164,1.1374836979962295e-7,1.032686204980541e-11,0.000034448121696521986,1.9623172657203895e-9
47.89763118402543,0.41480502970952693,1.03446051084573e-7,1.0308477784718639e-11,0.000031437744906007995,1.8498676748383904e-9
48.48596465416707,0.4567495694147846,9.378045844755777e-8,1.0064747709938174e-11,0.000028590267941479577,1.7310618190970425e-9
49.020160266413285,0.4948344144990551,8.486751275775546e-8,9.558884880254022e-12,0.00002598237182934206,1.6041357959017305e-9
49.48706435189697,0.5281217896800092,7.68665360679297e-8,8.83975111455585e-12,0.00002368275767269631,1.4726229105941621e-9
49.875180182467716,0.5557920493062276,7.000699584355267e-8,8.033607167926561e-12,0.000021754291727114866,1.3460591428615256e-9
50.17495105829425,0.577163859753386,6.455995425939951e-8,7.29155470550357e-12,0.000020253230635871465,1.2372087249223787e-9
50.37899562553124,0.5917109761193029,6.0777014058556e-8,6.736755081207096e-12,0.000019225647080230994,1.1578974592781139e-9
50.48228962974822,0.5990752001199384,5.8839812472737005e-8,6.443526915131487e-12,0.00001870370448033469,1.1162864175616964e-9
34.15882769273608,0.0009247998800616108,4.733543816728161e-7,5.088829198171373e-11,0.00009450191933386313,1.0159444847957935e-8
34.242652938453155,0.008289023880697022,4.6873936823488656e-7,5.004512396107769e-11,0.00009392166135566924,1.00236395149198e-8
34.40823937413772,0.022836140246613956,4.5967410798825574e-7,4.8551344378727464e-11,0.00009275056221714421,9.767317128465733e-9
34.65150971219333,0.04420795069377237,4.464811331857121e-7,4.673580692114487e-11,0.00009097258505298926,9.417787117658118e-9
34.96647382952911,0.07187821031999073,4.296246253318441e-7,4.497202124265877e-11,0.0000885751956545835,9.008707041843443e-9
35.345376264270264,0.1051655855009449,4.096832888392321e-7,4.3582988156817565e-11,0.00008555992198433482,8.573480655344955e-9
35.77888718096839,0.14325043058521536,3.8731347082494157e-7,4.2771425265963324e-11,0.00008195202633951122,8.139433488151659e-9
36.25633210211413,0.18519497029047305,3.632080585050399e-7,4.2590718581214347e-11,0.00007780721206255546,7.724176088990492e-9
36.76595474920003,0.22996639084322837,3.3805818963283075e-7,4.2955207966815594e-11,0.0000732139702092215,7.33478932011799e-9
37.29520652131423,0.2764622712816465,3.125227690010107e-7,4.367515998092299e-11,0.00006829118948049277,6.969577013979281e-9
37.83105548334136,0.32353772871835346,2.872015580562133e-7,4.4490775298504145e-11,0.0000631810624350696,6.6210311046006414e-9
38.36030725545556,0.37003360915677164,2.6260202543617244e-7,4.508094212472032e-11,0.00005803781838766536,6.2781343785141075e-9
